model,architecture,images,tp,fp,fn,accuracy,precision,recall,mAP50,mAP50-95
rtdetrv2_finetuned_100,RTDetrV2,1005,6029,106,1721,0.7674389002035683,0.9827220863894078,0.7779354838708673,0.9115723967552185,0.7084015607833862
rtdetr_finetuned_100,RTDetr,1005,5845,103,1905,0.7443015408123336,0.9826832548754232,0.7541935483869994,0.8866307735443115,0.6851138472557068
rtdetrv2_finetuned_75,RTDetrV2,1005,5963,169,1787,0.7529991160499112,0.9724396607956666,0.7694193548386103,0.8753865957260132,0.6627882719039917
rtdetrv2_finetuned_50,RTDetrV2,1005,6037,386,1713,0.7420108161257691,0.9399034718977206,0.7789677419353833,0.7704648971557617,0.5529428124427795
rtdetrv2_finetuned_25,RTDetrV2,1005,6017,624,1733,0.718533556245436,0.9060382472517834,0.7763870967740933,0.7509056329727173,0.5038479566574097
